DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.305,-61.4379,61.8
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2864,-61.6453,73.4
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2865,-61.6265,78.3
2024/03/23 00:24:49,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.6506,-61.9794,66.3
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.4682,-61.9816,62.5
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.4345,-60.4527,65.1
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.3771,-61.9264,79.5
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,MUCAJAÍ,Amazônia,,,,2.3772,-61.9076,90.6
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.3593,-61.7009,64.1
2024/03/23 00:24:50,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.3593,-61.6821,109.7
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.2702,-60.4358,85.6
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.2703,-60.4169,64.8
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2498,-61.7586,107.1
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.252,-60.4361,119.8
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.252,-60.4171,156.4
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2316,-61.7588,62.1
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2316,-61.74,67.5
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.2338,-60.4173,66.6
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2134,-61.6838,80.1
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.2135,-61.6649,61.9
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.1952,-61.684,69.0
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.1961,-61.1373,64.8
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.1769,-61.703,82.2
2024/03/23 00:24:51,GOES-16,Brasil,RORAIMA,IRACEMA,Amazônia,,,,2.177,-61.6842,88.4
2024/03/23 00:24:52,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.0689,-60.8173,68.5
2024/03/23 00:24:52,GOES-16,Brasil,RORAIMA,CANTÁ,Amazônia,,,,2.0507,-60.8175,84.1
2024/03/23 00:24:53,GOES-16,Brasil,RORAIMA,CARACARAÍ,Amazônia,,,,1.9403,-61.4607,82.3
